filename,start,end,freq_max,freq_min,sound_id_species,call_type,comments,duration
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140202T014456.225Z.wav,124.25856,126.19772,935.02,506.88,HB,TC,S,1.93916
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141003T040130.845Z.wav,21.3308,23.46008,902.19,67.7,HB,,NS,2.12928
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140701T121216.203Z.wav,7.50951,8.8403,1292.46,124.81,HB,,NS,1.33079
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20130812T193620.885Z.wav,33.82211,34.83172,7499.42,1419.84,KW,PC,OKW,1.00961
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140801T064037.190Z.wav,131.06464,132.58555,623.38,336.98,HB,TC,NS,1.52091
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140201T101212.194Z.wav,225.64686,226.14724,6180.83,2918.09,D,PC,,0.50038
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140204T060224.796Z.wav,37.64258,39.27756,506.88,296.47,HB,TC,S,1.63498
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141103T083455.270Z.wav,29.08745,31.520913,867.49,94.33,HB,O,,2.433463
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140701T102216.183Z.wav,237.536,238.091,603.4,62.9,HB,,NS,0.555
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140902T070408.622Z.wav,278.89733,281.71103,5474.55,1719.91,KW,PC,,2.8137
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141201T161339.180Z.wav,8.327,9.46768,3199,133.38,HB,TC,,1.14068
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140101T121159.857Z.wav,88.9924,90.11407,770.8,541.15,HB,TC,S,1.12167
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140902T032408.582Z.wav,157.30038,158.97338,327.6,50.06,HB,,NS,1.673
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141104T213302.553Z.wav,248.855,248.92,12105.3,3789.5,D,PC,,0.065
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140202T214456.432Z.wav,162.73764,164.79087,870.33,548.23,HB,TC,S,2.05323
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141202T101144.946Z.wav,10.64639,12.62357,449.75,204.6,HB,TC,,1.97718
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140103T105200.355Z.wav,44.23339,45.88108,633.3,325.81,HB,TC,S,1.64769
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141204T215132.163Z.wav,21.40684,22.73764,680.94,159.34,HB,TC,,1.3308
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140104T053200.573Z.wav,170.03782,170.53706,24386.24,4566.55,D,PC,,0.49924
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141201T024339.016Z.wav,25.70342,27.79468,694.02,188.38,HB,TC,,2.09126
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140801T161029.285Z.wav,40.22814,41.97719,493.69,81.15,HB,,NS,1.74905
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140802T095028.661Z.wav,236.12167,237.11027,3909.63,3049.67,D,W,,0.9886
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140702T063216.401Z.wav,17.75665,19.42966,639.4,112.88,HB,O,,1.67301
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140703T142111.194Z.wav,288.02281,289.35361,2791.53,1594.68,D,W,,1.3308
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20140202T015456.227Z.wav,70.79847,72.09125,672.46,449.75,HB,TC,S,1.29278
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141102T234458.366Z.wav,22.96578,24.8289,588.08,92.48,HB,O,,1.86312
/home/sadman/projects/ctb-ruthjoy/SRKW/ONC/BarkleyCanyon/ICLISTENHF1251_20141204T144105.578Z.wav,37.49048,39.84791,403.57,241.55,HB,TC,,2.35743
