filename,start,duration,predicted_label
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,0.0,5.0176,1
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,5.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,10.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,15.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,20.0,5.0176,1
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,25.0,5.0176,1
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,30.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,35.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,40.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,45.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,50.0,5.0176,1
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,55.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,60.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,65.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,70.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,75.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,80.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,85.0,5.0176,1
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,90.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,95.0,5.0176,0
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,100.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,105.0,5.0176,2
/home/sadman/projects/ctb-ruthjoy/SRKW/JASCO/BoundaryPass/AMAR418/AMAR418.1.20180902T143639Z.wav,110.0,5.0176,0
